product_name,review,rating
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews",Camera quality is like dslr. Compact phone with powerful features. Battery is also good which last a entire day. Overall happy to choose this against iPhone 14,5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews",Nice phone with best camera. Face id recognization average..,4
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Superb camera.
Handy size with decent battery.
Display quality is outstanding.",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","This is the best Android device available to those who don't like big phones but want everything that a big phone can do.

Everything is super smooth here.

Great camera quality and great video recording capabilities thanks to super stabilised video.

Battery is great too if you don't Play too much heavy games then it will last whole day.

Display is the best in the segment super bright and punchy, colours are just awesome ofcourse it is a Samsung display.

Man the processor.... What a great ...
READ MORE",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Finally received after 20 days in pre-order sale. Mobile is great in every aspect.
Camera is perfect.",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews",Upgraded from iPhone 12 mini to s23. Fulfilling my need very nicely. Good camera even better than iPhone 12 mini. Better battery performance. I am not a gamer so don't know about gaming experience.,5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews",Love it,5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Amazing camera😍😍, display, performance and design. The only problem is the battery but i think it should be fine for normal users🤩🤩",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Received this beauty on 27 Feb 2023 and hands down to the performance of the phone. This is my first Samsung phone and I am very impressed. The images are spot on, stable videos and can shoot in 8k is a big plus for me. As the gen 2 is very power efficient my phone with moderate usage easily last around a day which is very impressive by a compact smart phone. Cream color is like a treat to watch. Just close your eyes and grab this amazing product by Samsung.",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Great phone, lovely weight balance. The in hand feel is amazing it's so lite that I barely feel it in my pocket. The images from the camera are decent too in every lighting condition. I have attached some samples with this review. I'm very satisfied with the phone. I do get around 5-6 hour of SOT which is pretty good for a phone of this size. The screen is bright and vibrant which is expected from a Samsung. I would definitely recommend if you are looking for a tiny and complete phone with al...
READ MORE",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Amazing phone by Samsung, except battery life it gives absolute flagship performance and I loved it...",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Amazing photos, elegant design",5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews",I like the product 🫶🏻,5
"SAMSUNG Galaxy S23 5G (Cream, 128 GB) Reviews","Pros
1. Great Battery 🔋
2. Great Camera 📷 👌
3. Great Display 👍 👌
4. Top notch Performance 👌
5. Smooth Andriod experience. Got covered by 4 years updates along with security patches.
6. Elegant and powerful.

Cons
1. Charger must be included in box.
2. Heating issues.",5
